display  D   display_settings.c:400  _al_score_display_settings       [   0.08809] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.08819] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.08829] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.08836] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.08843] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.08849] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.08856] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.08864] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.08873] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.08881] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.08890] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.08896] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.08905] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.08925] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.08953] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.08961] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.08969] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.08977] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.08986] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.08993] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.09002] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.09010] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.09018] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.09026] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.09036] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.09046] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.09056] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.09064] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.09072] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.09081] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.09091] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.09099] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.09111] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.09141] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.09154] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.09165] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.09175] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.09185] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.09196] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.09205] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.09216] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.09223] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.09233] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.09243] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.09253] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.09262] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.09270] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.09278] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.09286] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.09292] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.09300] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.09307] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.09319] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.09327] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.09337] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.09347] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.09361] Single Buffer requirement not met.
